"CAS_number";"infocard";"STP_PNEC";"URL_Log";"min_STP_PNEC_mg/L";"max_STP_PNEC_mg/L";"STP_PNEC_flag"
"102-79-4";"100.002.778";"7.27 mg/L (1)";NA;7.27;7.27;"N/A"
"102-81-8";"100.002.780";"20 mg/L (1)";NA;20;20;"N/A"
"102-82-9";"100.002.781";"100 mg/L (1)";NA;100;100;"N/A"
"102-85-2";"100.002.784";NA;NA;NA;NA;"Missing_PNEC"
"102-86-3";"100.002.785";NA;NA;NA;NA;"Missing_PNEC"
"102-87-4";"100.002.786";NA;NA;NA;NA;"Missing_PNEC"
"102-97-6";"100.002.789";NA;NA;NA;NA;"Missing_PNEC"
"1020267-17-7";"100.358.639";NA;NA;NA;NA;"Missing_PNEC"
"1020409-50-0";"100.127.973";NA;NA;NA;NA;"Missing_PNEC"
"102061-82-5";"100.102.067";NA;NA;NA;NA;"Missing_PNEC"
"102089-33-8";"100.101.086";NA;NA;NA;NA;"Missing_PNEC"
"102089-74-7";"100.106.782";NA;NA;NA;NA;"Missing_PNEC"
"102089-75-8";"100.306.594";NA;NA;NA;NA;"Missing_PNEC"
"10210-68-1";"100.030.454";NA;NA;NA;NA;"Missing_PNEC"
"102110-14-5";"100.099.944";NA;NA;NA;NA;"Missing_PNEC"
"102110-15-6";"100.099.945";NA;NA;NA;NA;"Missing_PNEC"
"102110-19-0";"100.099.949";NA;NA;NA;NA;"Missing_PNEC"
"102110-29-2";"100.099.959";NA;NA;NA;NA;"Missing_PNEC"
"102110-49-6";"100.099.979";"25 - 3 200 µg/L (13)";NA;0.025;3.2;"Bad_value_repaired"
"102110-50-9";"100.099.980";"25 - 230 µg/L (5)";NA;0.025;0.23;"N/A"
"102110-55-4";"100.099.985";NA;NA;NA;NA;"Missing_PNEC"
"102110-59-8";"100.099.988";NA;NA;NA;NA;"Missing_PNEC"
"102110-60-1";"100.099.989";NA;NA;NA;NA;"Missing_PNEC"
"102113-98-4";"100.203.237";NA;NA;NA;NA;"Missing_PNEC"
"10213-78-2";"100.030.460";"3.5 mg/L (1)";NA;3.5;3.5;"N/A"
"10217-34-2";"100.102.351";"10 mg/L (1)";NA;10;10;"N/A"
"1021869-28-2";"100.234.440";NA;NA;NA;NA;"Missing_PNEC"
"1022-13-5";"100.012.566";NA;NA;NA;NA;"Missing_PNEC"
"10221-57-5";"100.101.154";"10 mg/L (1)";NA;10;10;"N/A"
"102212-98-6";"100.228.218";NA;NA;NA;NA;"Missing_PNEC"
"102213-30-9";"100.106.619";NA;NA;NA;NA;"Missing_PNEC"
"102229-10-7";"100.232.056";NA;NA;NA;NA;"Missing_PNEC"
"102242-48-8";"100.100.005";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"102242-49-9";"100.100.006";"1 g/L (1)";NA;1000;1000;"N/A"
"102242-52-4";"100.100.009";"3 g/L (1)";NA;3000;3000;"N/A"
"102242-62-6";"100.100.018";NA;NA;NA;NA;"Missing_PNEC"
"10226-30-9";"100.030.483";NA;NA;NA;NA;"Missing_PNEC"
"1022927-69-0";"100.244.488";NA;NA;NA;NA;"Missing_PNEC"
"1023-91-2";"100.012.570";NA;NA;NA;NA;"Missing_PNEC"
"102322-83-8";"100.133.148";NA;NA;NA;NA;"Missing_PNEC"
"10233-13-3";"100.030.496";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"102333-75-5";"100.101.947";NA;NA;NA;NA;"Missing_PNEC"
"102340-61-4";"100.232.614";NA;NA;NA;NA;"Missing_PNEC"
"10236-47-2";"100.030.502";"10 mg/L (1)";NA;10;10;"N/A"
"102363-72-4";"100.114.574";NA;NA;NA;NA;"Missing_PNEC"
"1023742-13-3";"100.241.670";NA;NA;NA;NA;"Missing_PNEC"
"102387-48-4";"100.101.161";NA;NA;NA;NA;"Missing_PNEC"
"1024120-52-2";"100.219.913";NA;NA;NA;NA;"Missing_PNEC"
"102445-69-2";"100.107.112";NA;NA;NA;NA;"Missing_PNEC"
"1024699-81-7";"100.214.761";"2.8 mg/L (1)";NA;2.8;2.8;"N/A"
"1024700-50-2";"100.215.166";"2.3 mg/L (1)";NA;2.3;2.3;"N/A"
"1025-15-6";"100.012.577";"100 mg/L (1)";NA;100;100;"N/A"
"10250-45-0";"100.030.522";NA;NA;NA;NA;"Missing_PNEC"
"102506-09-2";"100.100.036";NA;NA;NA;NA;"Missing_PNEC"
"1025071-45-7";"100.217.622";NA;NA;NA;NA;"Missing_PNEC"
"10254-57-6";"100.030.526";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"102561-46-6";"100.100.408";NA;NA;NA;NA;"Missing_PNEC"
"10257-32-6";"100.225.002";NA;NA;NA;NA;"Missing_PNEC"
"10257-55-3";"100.030.529";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"10258-54-5";"100.030.530";NA;NA;NA;NA;"Missing_PNEC"
"1025961-88-9";"100.235.860";NA;NA;NA;NA;"Missing_PNEC"
"102601-34-3";"100.216.576";NA;NA;NA;NA;"Missing_PNEC"
"102625-64-9";"100.148.907";NA;NA;NA;NA;"Missing_PNEC"
"102625-70-7";"100.111.005";NA;NA;NA;NA;"Missing_PNEC"
"1026364-35-1";"100.116.138";NA;NA;NA;NA;"Missing_PNEC"
"1026785-65-8";"100.220.939";NA;NA;NA;NA;"Missing_PNEC"
"102687-65-0";"100.149.148";NA;NA;NA;NA;"Missing_PNEC"
"102691-36-1";"100.107.517";NA;NA;NA;NA;"Missing_PNEC"
"1026988-42-0";"100.102.794";"1.4 mg/L (1)";NA;1.4;1.4;"N/A"
"102714-93-2";"100.103.736";NA;NA;NA;NA;"Missing_PNEC"
"102731-54-4";"100.280.951";"4.22 mg/L (1)";NA;4.22;4.22;"N/A"
"102744-79-6";"100.113.293";NA;NA;NA;NA;"Missing_PNEC"
"102772-66-7";"100.107.407";NA;NA;NA;NA;"Missing_PNEC"
"1028252-16-5";"100.228.320";NA;NA;NA;NA;"Missing_PNEC"
"1028634-75-4";"100.212.531";NA;NA;NA;NA;"Missing_PNEC"
"1028634-77-6";"100.259.906";NA;NA;NA;NA;"Missing_PNEC"
"10287-53-3";"100.030.564";"1.46 mg/L (1)";NA;1.46;1.46;"N/A"
"10291-28-8";"100.030.579";NA;NA;NA;NA;"Missing_PNEC"
"10294-26-5";"100.030.581";"25 µg/L (1)";NA;0.025;0.025;"N/A"
"10294-33-4";"100.030.585";NA;NA;NA;NA;"Missing_PNEC"
"10294-34-5";"100.030.586";"39 µg/L (2)";NA;0.039;0.039;"N/A"
"10294-40-3";"100.030.587";"10 - 62.2 mg/L (2)";NA;10;62.2;"N/A"
"10294-54-9";"100.030.589";"107.8 mg/L (1)";NA;107.8;107.8;"N/A"
"10294-66-3";"100.030.593";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"1029600-34-7";"100.149.295";NA;NA;NA;NA;"Missing_PNEC"
"1029712-80-8";"100.246.414";NA;NA;NA;NA;"Missing_PNEC"
"1029716-44-6";"100.216.072";NA;NA;NA;NA;"Missing_PNEC"
"102985-93-3";"100.104.889";"100 mg/L (1)";NA;100;100;"N/A"
"103-05-9";"100.002.796";"7.09 mg/L (1)";NA;7.09;7.09;"N/A"
"103-09-3";"100.002.800";"100 mg/L (1)";NA;100;100;"N/A"
"103-11-7";"100.002.801";"2.3 mg/L (1)";NA;2.3;2.3;"N/A"
"103-23-1";"100.002.810";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"103-24-2";"100.002.811";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"103-26-4";"100.002.813";"1.81 mg/L (1)";NA;1.81;1.81;"N/A"
"103-28-6";"100.002.815";NA;NA;NA;NA;"Missing_PNEC"
"103-29-7";"100.002.816";NA;NA;NA;NA;"Missing_PNEC"
"103-34-4";"100.002.821";"7.59 mg/L (1)";NA;7.59;7.59;"N/A"
"103-36-6";"100.002.822";"200 µg/L (1)";NA;0.2;0.2;"N/A"
"103-37-7";"100.002.823";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"103-38-8";"100.002.824";NA;NA;NA;NA;"Missing_PNEC"
"103-41-3";"100.002.827";"10 mg/L (2)";NA;10;10;"N/A"
"103-45-7";"100.002.830";"10 mg/L (1)";NA;10;10;"N/A"
"103-47-9";"100.002.832";NA;NA;NA;NA;"Missing_PNEC"
"103-48-0";"100.002.833";"150 µg/L (1)";NA;0.15;0.15;"N/A"
"103-49-1";"100.002.834";NA;NA;NA;NA;"Missing_PNEC"
"103-50-4";"100.002.835";"1.38 mg/L (1)";NA;1.38;1.38;"N/A"
"103-52-6";"100.002.836";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"103-53-7";"100.002.837";NA;NA;NA;NA;"Missing_PNEC"
"103-54-8";"100.002.838";"300 µg/L (1)";NA;0.3;0.3;"N/A"
"103-56-0";"100.002.840";NA;NA;NA;NA;"Missing_PNEC"
"103-60-6";"100.002.843";"100 mg/L (1)";NA;100;100;"N/A"
"103-61-7";"100.002.844";NA;NA;NA;NA;"Missing_PNEC"
"103-63-9";"100.002.846";NA;NA;NA;NA;"Missing_PNEC"
"103-64-0";"100.002.847";NA;NA;NA;NA;"Missing_PNEC"
"103-67-3";"100.002.849";NA;NA;NA;NA;"Missing_PNEC"
"103-69-5";"100.002.850";NA;NA;NA;NA;"Missing_PNEC"
"103-71-9";"100.002.852";NA;NA;NA;NA;"Missing_PNEC"
"103-72-0";"100.002.853";NA;NA;NA;NA;"Missing_PNEC"
"103-73-1";"100.002.854";"533 µg/L (1)";NA;0.533;0.533;"N/A"
"103-74-2";"100.002.855";NA;NA;NA;NA;"Missing_PNEC"
"103-76-4";"100.002.857";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"103-79-7";"100.002.859";NA;NA;NA;NA;"Missing_PNEC"
"103-80-0";"100.002.860";NA;NA;NA;NA;"Missing_PNEC"
"103-82-2";"100.002.862";"22.3 mg/L (1)";NA;22.3;22.3;"N/A"
"103-83-3";"100.002.863";"534 mg/L (1)";NA;534;534;"N/A"
"103-90-2";"100.002.870";"1.89 mg/L (2)";NA;1.89;1.89;"N/A"
"103-95-7";"100.002.874";"1 mg/L (1)";NA;1;1;"N/A"
"1030385-16-0";"100.121.975";NA;NA;NA;NA;"Missing_PNEC"
"103041-38-9";"100.118.255";NA;NA;NA;NA;"Missing_PNEC"
"103043-58-9";"100.232.484";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"10305-38-1";"100.128.410";NA;NA;NA;NA;"Missing_PNEC"
"10305-39-2";"100.224.668";NA;NA;NA;NA;"Missing_PNEC"
"10305-41-6";"100.232.476";NA;NA;NA;NA;"Missing_PNEC"
"103055-07-8";"100.101.025";"1 mg/L (1)";NA;1;1;"N/A"
"1030826-33-5";"100.246.403";NA;NA;NA;NA;"Missing_PNEC"
"10309-37-2";"100.211.101";NA;NA;NA;NA;"Missing_PNEC"
"1031-15-8";"100.101.722";NA;NA;NA;NA;"Missing_PNEC"
"103121-85-3";"100.105.154";"100 mg/L (1)";NA;100;100;"N/A"
"103122-66-3";"100.103.258";NA;NA;NA;NA;"Missing_PNEC"
"103146-25-4";"100.102.909";NA;NA;NA;NA;"Missing_PNEC"
"103170-26-9";"100.105.771";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"10319-14-9";"100.030.625";NA;NA;NA;NA;"Missing_PNEC"
"103201-78-1";"100.114.363";NA;NA;NA;NA;"Missing_PNEC"
"103213-20-3";"100.105.772";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"10325-94-7";"100.030.633";"20 µg/L (1)";NA;0.02;0.02;"N/A"
"10326-41-7";"100.030.636";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"1033-16-5";"100.108.483";NA;NA;NA;NA;"Missing_PNEC"
"103300-89-6";"100.100.470";NA;NA;NA;NA;"Missing_PNEC"
"103300-91-0";"100.100.721";NA;NA;NA;NA;"Missing_PNEC"
"103312-62-5";"100.130.852";NA;NA;NA;NA;"Missing_PNEC"
"103335-41-7";"100.122.181";NA;NA;NA;NA;"Missing_PNEC"
"103335-54-2";"100.100.929";NA;NA;NA;NA;"Missing_PNEC"
"103335-55-3";"100.100.928";NA;NA;NA;NA;"Missing_PNEC"
"103336-06-7";"100.245.230";NA;NA;NA;NA;"Missing_PNEC"
"10339-55-6";"100.030.653";"10 mg/L (1)";NA;10;10;"N/A"
"103406-74-2";"100.101.696";NA;NA;NA;NA;"Missing_PNEC"
"10341-03-4";"100.030.660";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"103429-90-9";"100.148.874";"10 mg/L (1)";NA;10;10;"N/A"
"10343-61-0";"100.030.669";NA;NA;NA;NA;"Missing_PNEC"
"103430-24-6";"100.100.404";NA;NA;NA;NA;"Missing_PNEC"
"1034343-98-0";"100.227.924";NA;NA;NA;NA;"Missing_PNEC"
"103466-44-0";"100.117.689";NA;NA;NA;NA;"Missing_PNEC"
"10347-88-3";"100.030.678";NA;NA;NA;NA;"Missing_PNEC"
"1034820-43-3";"100.258.565";"1 mg/L (2)";NA;1;1;"N/A"
"1034975-35-3";"100.264.564";NA;NA;NA;NA;"Missing_PNEC"
"1034975-53-5";"100.277.113";NA;NA;NA;NA;"Missing_PNEC"
"1035-69-4";"100.168.138";NA;NA;NA;NA;"Missing_PNEC"
"1035204-82-0";"100.112.678";NA;NA;NA;NA;"Missing_PNEC"
"1035204-85-3";"100.131.128";NA;NA;NA;NA;"Missing_PNEC"
"1035654-66-0";"100.241.852";NA;NA;NA;NA;"Missing_PNEC"
"1035655-10-7";"100.241.854";NA;NA;NA;NA;"Missing_PNEC"
"10357-99-0";"100.100.334";NA;NA;NA;NA;"Missing_PNEC"
"103577-40-8";"100.109.327";NA;NA;NA;NA;"Missing_PNEC"
"103577-66-8";"100.102.659";NA;NA;NA;NA;"Missing_PNEC"
"103597-45-1";"100.100.550";"1 mg/L (3)";NA;1;1;"N/A"
"10361-29-2";"100.030.702";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"10361-37-2";"100.030.704";"94.3 mg/L (1)";NA;94.3;94.3;"N/A"
"10361-43-0";"100.030.706";"17.5 mg/L (1)";NA;17.5;17.5;"N/A"
"10361-44-1";"100.030.707";"17.5 mg/L (1)";NA;17.5;17.5;"N/A"
"10361-79-2";"100.030.710";NA;NA;NA;NA;"Missing_PNEC"
"10361-80-5";"100.030.711";NA;NA;NA;NA;"Missing_PNEC"
"10361-82-7";"100.030.712";"12.5 mg/L (1)";NA;12.5;12.5;"N/A"
"10361-83-8";"100.030.713";NA;NA;NA;NA;"Missing_PNEC"
"10361-92-9";"100.030.716";"8.2 mg/L (1)";NA;8.2;8.2;"N/A"
"10361-93-0";"100.030.717";"8.2 mg/L (1)";NA;8.2;8.2;"N/A"
"103614-86-4";"100.103.316";NA;NA;NA;NA;"Missing_PNEC"
"103628-22-4";"100.115.077";NA;NA;NA;NA;"Missing_PNEC"
"103694-68-4";"100.100.489";"1.7 mg/L (1)";NA;1.7;1.7;"N/A"
"1037184-07-8";"100.127.664";NA;NA;NA;NA;"Missing_PNEC"
"1037197-98-0";"100.120.526";NA;NA;NA;NA;"Missing_PNEC"
"103728-95-6";"100.131.345";NA;NA;NA;NA;"Missing_PNEC"
"103758-99-2";"100.105.774";"3.84 mg/L (1)";NA;3.84;3.84;"N/A"
"10377-48-7";"100.030.734";"182 mg/L (1)";NA;182;182;"N/A"
"10377-51-2";"100.030.735";NA;NA;NA;NA;"Missing_PNEC"
"10377-52-3";"100.030.736";"127.63 mg/L (2)";NA;127.63;127.63;"N/A"
"10377-60-3";"100.030.739";"18 mg/L (1)";NA;18;18;"N/A"
"10377-66-9";"100.030.741";"56 mg/L (1)";NA;56;56;"N/A"
"103799-56-0";"100.120.666";NA;NA;NA;NA;"Missing_PNEC"
"1038-28-4";"100.012.601";NA;NA;NA;NA;"Missing_PNEC"
"10387-40-3";"100.030.759";NA;NA;NA;NA;"Missing_PNEC"
"103877-51-6";"100.122.477";NA;NA;NA;NA;"Missing_PNEC"
"103953-71-5";"100.148.910";NA;NA;NA;NA;"Missing_PNEC"
"103969-79-5";"100.101.287";NA;NA;NA;NA;"Missing_PNEC"
"103976-28-9";"100.102.973";NA;NA;NA;NA;"Missing_PNEC"
"103980-44-5";"100.120.542";NA;NA;NA;NA;"Missing_PNEC"
"10399-13-0";"100.030.772";NA;NA;NA;NA;"Missing_PNEC"
"103995-01-3";"100.100.828";NA;NA;NA;NA;"Missing_PNEC"
"104-01-8";"100.002.879";"67.88 mg/L (1)";NA;67.88;67.88;"N/A"
"104-03-0";"100.002.880";NA;NA;NA;NA;"Missing_PNEC"
"104-12-1";"100.002.888";NA;NA;NA;NA;"Missing_PNEC"
"104-15-4";"100.002.891";"65 mg/L (1)";NA;65;65;"N/A"
"104-16-5";"100.002.892";NA;NA;NA;NA;"Missing_PNEC"
"104-19-8";"100.002.894";"100 mg/L (1)";NA;100;100;"N/A"
"104-20-1";"100.002.895";"2.5 mg/L (2)";NA;2.5;2.5;"N/A"
"104-21-2";"100.002.896";"200 µg/L (1)";NA;0.2;0.2;"N/A"
"104-23-4";"100.002.898";"50 mg/L (1)";NA;50;50;"N/A"
"104-29-0";"100.002.902";"7.13 mg/L (2)";NA;7.13;7.13;"N/A"
"104-38-1";"100.002.907";NA;NA;NA;NA;"Missing_PNEC"
"104-40-5";"100.002.909";NA;NA;NA;NA;"Missing_PNEC"
"104-45-0";"100.002.913";NA;NA;NA;NA;"Missing_PNEC"
"104-49-4";"100.002.916";"100 mg/L (1)";NA;100;100;"N/A"
"104-50-7";"100.002.917";"2.86 mg/L (1)";NA;2.86;2.86;"N/A"
"104-52-9";"100.002.919";NA;NA;NA;NA;"Missing_PNEC"
"104-54-1";"100.002.921";"16.127 mg/L (1)";NA;16.127;16.127;"N/A"
"104-55-2";"100.002.922";"7.1 - 13.119 mg/L (2)";NA;7.1;13.119;"N/A"
"104-57-4";"100.002.923";NA;NA;NA;NA;"Missing_PNEC"
"104-61-0";"100.002.927";"80 mg/L (1)";NA;80;80;"N/A"
"104-63-2";"100.002.929";NA;NA;NA;NA;"Missing_PNEC"
"104-65-4";"100.002.931";NA;NA;NA;NA;"Missing_PNEC"
"104-66-5";"100.002.932";"10 mg/L (1)";NA;10;10;"N/A"
"104-67-6";"100.002.933";"80 mg/L (1)";NA;80;80;"N/A"
"104-68-7";"100.002.934";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"104-74-5";"100.002.939";"39.74 µg/L (1)";NA;0.03974;0.03974;"N/A"
"104-75-6";"100.002.940";"6 mg/L (1)";NA;6;6;"N/A"
"104-76-7";"100.002.941";"10 mg/L (1)";NA;10;10;"N/A"
"104-78-9";"100.002.943";"10 mg/L (1)";NA;10;10;"N/A"
"104-83-6";"100.002.948";NA;NA;NA;NA;"Missing_PNEC"
"104-85-8";"100.002.950";NA;NA;NA;NA;"Missing_PNEC"
"104-87-0";"100.002.952";NA;NA;NA;NA;"Missing_PNEC"
"104-88-1";"100.002.953";NA;NA;NA;NA;"Missing_PNEC"
"104-90-5";"100.002.955";"3.89 mg/L (1)";NA;3.89;3.89;"N/A"
"104-91-6";"100.002.956";NA;NA;NA;NA;"Missing_PNEC"
"104-92-7";"100.002.957";NA;NA;NA;NA;"Missing_PNEC"
"104-93-8";"100.002.958";"300 - 10 000 µg/L (3)";NA;0.3;10;"Bad_value_repaired"
"104-94-9";"100.002.959";NA;NA;NA;NA;"Missing_PNEC"
"104-95-0";"100.002.960";NA;NA;NA;NA;"Missing_PNEC"
"104-97-2";"100.002.962";NA;NA;NA;NA;"Missing_PNEC"
"10401-55-5";"100.030.774";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"10402-16-1";"100.030.775";"230 - 1 760 µg/L (2)";NA;0.23;1.76;"Bad_value_repaired"
"10403-74-4";"100.102.700";NA;NA;NA;NA;"Missing_PNEC"
"104051-92-5";"100.101.020";NA;NA;NA;NA;"Missing_PNEC"
"10407-33-7";"100.133.467";NA;NA;NA;NA;"Missing_PNEC"
"1040871-35-9";"100.144.149";NA;NA;NA;NA;"Missing_PNEC"
"1040873-93-5";"100.118.638";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"1040874-53-0";"100.112.211";NA;NA;NA;NA;"Missing_PNEC"
"1040916-84-4";"100.220.992";NA;NA;NA;NA;"Missing_PNEC"
"1041-00-5";"100.012.606";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"1041-01-6";"100.012.607";NA;NA;NA;NA;"Missing_PNEC"
"10411-92-4";"100.030.789";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"1041263-42-6";"100.268.017";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"104146-10-3";"100.100.481";NA;NA;NA;NA;"Missing_PNEC"
"104147-32-2";"100.100.368";NA;NA;NA;NA;"Missing_PNEC"
"10416-59-8";"100.030.799";NA;NA;NA;NA;"Missing_PNEC"
"10420-33-4";"100.030.804";NA;NA;NA;NA;"Missing_PNEC"
"10421-48-4";"100.030.805";"500 mg/L (1)";NA;500;500;"N/A"
"104218-44-2";"100.100.796";NA;NA;NA;NA;"Missing_PNEC"
"104224-63-7";"100.216.294";NA;NA;NA;NA;"Missing_PNEC"
"104226-19-9";"100.101.045";NA;NA;NA;NA;"Missing_PNEC"
"1042398-26-4";"100.127.833";NA;NA;NA;NA;"Missing_PNEC"
"10425-11-3";"100.103.606";NA;NA;NA;NA;"Missing_PNEC"
"1042662-40-7";"100.125.699";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"10429-07-9";"100.127.476";NA;NA;NA;NA;"Missing_PNEC"
"104295-55-8";"100.101.148";NA;NA;NA;NA;"Missing_PNEC"
"1042950-30-0";"100.277.472";"100 mg/L (1)";NA;100;100;"N/A"
"10431-98-8";"100.030.817";"60 mg/L (1)";NA;60;60;"N/A"
"10433-41-7";"100.030.819";NA;NA;NA;NA;"Missing_PNEC"
"104333-00-8";"100.100.968";NA;NA;NA;NA;"Missing_PNEC"
"104358-16-9";"100.125.280";NA;NA;NA;NA;"Missing_PNEC"
"104366-25-8";"100.100.679";NA;NA;NA;NA;"Missing_PNEC"
"104366-82-7";"100.166.562";NA;NA;NA;NA;"Missing_PNEC"
"104372-31-8";"100.226.396";NA;NA;NA;NA;"Missing_PNEC"
"10438-94-5";"100.273.985";NA;NA;NA;NA;"Missing_PNEC"
"10442-83-8";"100.103.906";NA;NA;NA;NA;"Missing_PNEC"
"1044241-53-3";"100.309.403";NA;NA;NA;NA;"Missing_PNEC"
"1044241-54-4";"100.305.278";NA;NA;NA;NA;"Missing_PNEC"
"1044241-64-6";"100.309.405";NA;NA;NA;NA;"Missing_PNEC"
"1044241-98-6";"100.309.404";NA;NA;NA;NA;"Missing_PNEC"
"10443-60-4";"100.302.676";NA;NA;NA;NA;"Missing_PNEC"
"104458-24-4";"100.104.226";NA;NA;NA;NA;"Missing_PNEC"
"104468-21-5";"100.101.460";NA;NA;NA;NA;"Missing_PNEC"
"1044764-08-0";"100.234.013";"22 mg/L (1)";NA;22;22;"N/A"
"104491-84-1";"100.126.812";NA;NA;NA;NA;"Missing_PNEC"
"10450-60-9";"100.030.839";"2.2 mg/L (1)";NA;2.2;2.2;"N/A"
"104541-33-5";"100.101.079";NA;NA;NA;NA;"Missing_PNEC"
"104558-95-4";"100.100.521";NA;NA;NA;NA;"Missing_PNEC"
"104560-40-9";"100.102.935";NA;NA;NA;NA;"Missing_PNEC"
"1045704-38-8";"100.248.945";NA;NA;NA;NA;"Missing_PNEC"
"1045809-53-7";"100.119.204";NA;NA;NA;NA;"Missing_PNEC"
"10461-98-0";"100.102.229";"0 - 31 600 000 ng/L (3)";NA;NA;NA;"Zero_value(s)_detected"
"104617-49-4";"100.115.646";NA;NA;NA;NA;"Missing_PNEC"
"104617-50-7";"100.114.643";NA;NA;NA;NA;"Missing_PNEC"
"104632-26-0";"100.124.761";NA;NA;NA;NA;"Missing_PNEC"
"10465-78-8";"100.030.852";NA;NA;NA;NA;"Missing_PNEC"
"10466-65-6";"100.030.854";NA;NA;NA;NA;"Missing_PNEC"
"1047-16-1";"100.012.618";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"10473-13-9";"100.030.863";NA;NA;NA;NA;"Missing_PNEC"
"104746-04-5";"100.238.322";NA;NA;NA;NA;"Missing_PNEC"
"10476-85-4";"100.030.870";"4.2 mg/L (1)";NA;4.2;4.2;"N/A"
"1047637-37-5";"100.237.792";"10 mg/L (1)";NA;10;10;"N/A"
"104788-63-8";"100.100.825";NA;NA;NA;NA;"Missing_PNEC"
"104797-47-9";"100.104.580";"12 mg/L (1)";NA;12;12;"N/A"
"1047975-16-5";"100.251.862";NA;NA;NA;NA;"Missing_PNEC"
"1048007-94-8";"100.169.176";NA;NA;NA;NA;"Missing_PNEC"
"104815-18-1";"100.100.530";"100 mg/L (1)";NA;100;100;"N/A"
"10482-56-1";"100.030.884";"10 mg/L (1)";NA;10;10;"N/A"
"104825-66-3";"100.107.164";NA;NA;NA;NA;"Missing_PNEC"
"104860-26-6";"100.102.354";NA;NA;NA;NA;"Missing_PNEC"
"1048649-80-4";"100.223.451";NA;NA;NA;NA;"Missing_PNEC"
"104867-13-2";"100.281.475";NA;NA;NA;NA;"Missing_PNEC"
"104872-06-2";"100.101.745";NA;NA;NA;NA;"Missing_PNEC"
"10489-46-0";"100.030.909";"14.6 mg/L (1)";NA;14.6;14.6;"N/A"
"10493-43-3";"100.030.913";NA;NA;NA;NA;"Missing_PNEC"
"104958-67-0";"100.100.920";NA;NA;NA;NA;"Missing_PNEC"
"104966-97-4";"100.149.007";NA;NA;NA;NA;"Missing_PNEC"
"10497-05-9";"100.030.922";NA;NA;NA;NA;"Missing_PNEC"
"104986-28-9";"100.101.220";NA;NA;NA;NA;"Missing_PNEC"
"105-05-5";"100.002.969";"2.5 mg/L (1)";NA;2.5;2.5;"N/A"
"105-06-6";"100.002.970";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"105-08-8";"100.002.972";"3 mg/L (1)";NA;3;3;"N/A"
"105-11-3";"100.002.974";"920 µg/L (1)";NA;0.92;0.92;"N/A"
"105-13-5";"100.002.976";"2 mg/L (2)";NA;2;2;"N/A"
"105-16-8";"100.002.978";"10 mg/L (1)";NA;10;10;"N/A"
"105-21-5";"100.002.982";NA;NA;NA;NA;"Missing_PNEC"
"105-34-0";"100.002.990";NA;NA;NA;NA;"Missing_PNEC"
"105-36-2";"100.002.992";NA;NA;NA;NA;"Missing_PNEC"
"105-37-3";"100.002.993";"500 µg/L (1)";NA;0.5;0.5;"N/A"
"105-38-4";"100.002.994";NA;NA;NA;NA;"Missing_PNEC"
"105-39-5";"100.002.995";NA;NA;NA;NA;"Missing_PNEC"
"105-44-2";"100.002.999";NA;NA;NA;NA;"Missing_PNEC"
"105-45-3";"100.003.000";"50 mg/L (1)";NA;50;50;"N/A"
"105-52-2";"100.003.005";NA;NA;NA;NA;"Missing_PNEC"
"105-53-3";"100.003.006";"108 µg/L (1)";NA;0.108;0.108;"N/A"
"105-54-4";"100.003.007";"23.6 mg/L (1)";NA;23.6;23.6;"N/A"
"105-55-5";"100.003.008";"9.39 mg/L (1)";NA;9.39;9.39;"N/A"
"105-56-6";"100.003.009";NA;NA;NA;NA;"Missing_PNEC"
"105-57-7";"100.003.010";NA;NA;NA;NA;"Missing_PNEC"
"105-58-8";"100.003.011";"10 - 100 mg/L (2)";NA;10;100;"N/A"
"105-59-9";"100.003.012";"10 mg/L (1)";NA;10;10;"N/A"
"105-60-2";"100.003.013";"1.737 g/L (1)";NA;1737;1737;"N/A"
